Budget,Duration,Size,Floors,Complexity
6.661301731,9.871971201,645.1804514,4,6.72873859
0.727592777,4.861636025,257.1411407,1,3.522785584
33.0708335,26.00366875,3980.937732,9,8.3390843
5.94538169,6.318492582,505.4390028,3,4.824553578
5.317767032,9.827605516,699.2686484,4,5.951763165
1.555683455,4.857112572,203.4281487,2,3.533099272
6.363435491,8.270350851,765.4354338,5,4.42612008
34.40819878,21.69243252,4571.958087,12,8.971996328
6.048019744,8.066644253,446.2924065,3,6.585806383
3.673168234,11.32928966,656.9652665,3,4.671719041
27.23175347,24.19408651,5197.226071,19,10.27708377
1.072588681,3.393665026,203.0115105,2,3.020990032
1.062659079,5.415402118,160.8373354,1,3.15222456
1.162768013,5.475545127,196.2777042,2,2.982735172
0.57630889,3.854880245,237.5966516,1,2.828929144
4.106879726,6.153934526,619.0907491,3,5.18495417
25.07136977,18.4057297,5583.891031,19,7.56098839
4.371430253,8.466767039,807.0032281,4,5.580972244
5.080198713,9.189142242,827.0431517,4,5.532886416
29.36041204,26.55436984,5169.248204,16,7.787965481
0.912491875,2.512431085,174.8262173,1,3.02568043
28.7548198,16.7804716,3894.432345,11,7.576598468
0.654701927,4.587047068,150.4731837,2,3.115476861
32.88278482,17.48983025,5117.807279,19,9.063107377
35.59787456,20.3827335,5571.877022,15,7.208566332
25.69357899,29.76627448,5166.831053,16,7.725026882
29.4648482,21.6304243,4756.196888,6,8.436840635
37.39972069,19.48117258,4761.171277,15,8.608525637
0.784046737,3.036485052,239.0911436,2,3.088090461
0.819488016,4.280328112,122.4668284,1,3.436223579
1.020258461,4.464173961,270.1397155,2,3.35505462
0.831313741,5.856240029,215.0773671,2,3.370170409
5.828765978,9.311397392,602.2618269,5,6.394373775
0.860281074,4.314341023,198.6743062,2,3.48859
0.965305515,3.797946906,119.6258383,1,3.665440664
37.61562039,14.113422,5518.769972,8,9.472007588
4.465337258,10.36460726,716.7056103,2,6.366471418
1.112709406,4.20099265,171.6851135,1,2.595531554
0.929753988,5.530999522,191.9357144,2,3.604690985
0.995950833,5.977894045,146.8848143,1,2.520495952
29.96013679,27.34276845,5035.783119,16,8.419609186
3.720080267,9.392434584,655.4350578,2,6.002279579
4.762608039,9.018219764,877.5761298,4,6.551649936
0.696150664,4.427989878,198.2644115,2,2.773768884
0.860974692,4.020825762,104.0614392,2,2.518492187
6.651350986,10.74290598,695.7676454,3,4.26888236
25.2222978,17.35391975,4792.356043,14,8.861668516
22.88873145,24.18959469,5124.110293,6,8.610779187
4.682153093,10.31513197,727.0863101,2,6.180099666
24.82378839,20.54403692,4783.720906,15,9.046751287
4.871587853,6.31193235,634.2276042,2,4.58687135
32.52023258,26.25187695,5127.210422,8,9.820779678
5.015143278,10.3274857,583.5772557,2,5.732619808
1.149014246,4.824083969,129.2314629,2,2.315064472
28.62474151,17.32237888,5009.20919,14,7.448064488
5.442074017,8.303205377,786.0111366,2,4.976059424
0.819808393,4.591760777,204.9825683,2,3.528711754
1.221539974,4.597077549,211.3729967,2,3.718678164
0.556443403,4.107891847,212.9941397,1,3.116148079
5.549576345,10.03027277,606.6696593,2,5.584206942
18.49039418,26.17344077,5838.218656,12,8.317485385
0.836685183,1.880254896,229.3428547,2,3.315037469
1.033276777,5.321902504,309.5227813,2,3.881468736
0.572575544,6.064643656,129.9074469,2,3.046239436
6.543067652,11.86847646,504.7150541,2,4.05279053
1.059058371,5.013267433,138.4567842,2,3.435956994
6.323263807,10.59784062,728.4006411,4,5.437615972
28.895152,27.0215649,4795.962313,15,6.875483838
1.317136668,4.761055272,133.9771693,2,2.249615803
4.534335229,8.329839732,514.4942044,3,5.968770784
30.17631776,23.79904756,6037.700399,8,8.406619399
0.682686721,3.981729782,223.6796215,2,3.691002302
26.76713558,20.55834654,4770.31955,13,8.025703651
24.70393239,18.46880108,4698.007407,12,8.809481666
7.389035957,9.65899071,705.9109203,5,5.998130415
4.269258597,8.388126971,697.3627388,2,5.311415216
24.81376923,26.30828851,4865.062532,8,7.045136342
5.357304542,9.091344911,649.1182954,5,5.080437484
0.929758913,5.431280119,220.2025428,2,3.268980002
3.699807158,8.080357976,747.6309126,4,5.477113676
24.01061054,20.67619953,4789.50776,7,8.866766867
0.471087953,4.265412867,214.8492337,1,2.572035541
0.633746905,3.998242956,277.4967203,2,2.698047814
5.377296265,7.996195908,615.6798763,5,6.240897141
3.387772693,7.934808063,658.8873006,2,6.45804209
1.246763474,3.691506397,154.0287883,1,3.45256098
26.50137246,23.04420781,5435.562352,8,9.249697527
1.230230419,4.190787624,208.7288906,1,3.046882715
0.909668891,4.172337853,209.2316929,1,3.494101305
4.555501256,10.42801664,619.7675758,2,6.325508029
5.058508902,10.80738438,753.2600404,4,5.756618772
27.34749426,24.39732922,4064.604039,15,9.389087883
6.843715798,8.340723187,748.3504306,4,4.072537476
21.9677684,23.73568081,5316.390933,17,7.9406226
31.01731818,19.1559352,6135.346429,12,8.384825039
4.067408343,10.42371448,835.9967006,3,4.533928979
0.859157684,4.831263431,212.8775195,2,2.296797366
0.426015927,3.303793376,323.1621056,2,2.931364091
33.78753855,20.08977902,4495.956845,8,8.939698009
36.83437134,26.28239467,4890.449736,10,8.395674333
1.456908957,5.111676289,159.8861365,1,2.880202746
1.0942742,5.503532898,141.5660981,1,3.388524897
0.601544185,3.970239796,240.6758609,2,3.011965907
4.228180922,9.543020868,581.7657399,3,6.942523547
26.21824627,21.39265557,5090.933128,18,8.500489382
1.473763845,3.660782477,294.3092951,1,4.36721108
39.82362566,25.0818273,5144.887428,7,8.088339222
27.43066541,20.49752699,5185.572937,17,8.651802726
1.194306561,3.823078,182.8642742,2,3.439336774
6.843413758,8.837253167,737.2541591,2,4.712750536
4.585468195,9.970744045,440.9982251,5,5.50367059
38.22483857,20.94696337,5414.702791,12,8.495342582
4.960363858,9.607463263,727.067833,5,5.419822108
31.06989955,20.36974535,4836.988234,14,8.092039579
0.861808369,4.796120277,138.1524645,1,2.423717314
24.59225998,22.46177782,4575.077815,5,8.604500594
3.729128193,9.106458623,670.3822728,2,5.860107184
32.69455022,20.81241898,4744.991801,20,6.63845405
6.266406855,7.169144844,565.5863086,3,5.980236022
5.128551,12.16697646,785.7880788,2,5.40033436
4.894881495,10.28096207,831.608779,3,5.461116611
1.051410484,5.468644991,265.3571377,2,3.003653186
6.560380141,8.077299483,711.3841341,2,4.752665699
3.705057526,8.641162803,770.0411548,2,4.307632292
1.103085487,4.505113457,226.0970783,2,3.082511399
4.980557859,8.21521786,606.8057798,2,6.640030882
26.03563584,22.05149846,4794.061517,17,8.57006681
22.42404469,21.34950496,5163.463687,10,7.712206695
0.93226711,6.038036566,154.5306273,2,2.743517341
4.665182753,10.92081114,730.3813051,4,5.935994953
30.38684154,26.11921671,5239.489913,16,10.29894879
31.55625077,24.19233979,5385.432597,14,8.389950275
0.412098963,4.82875111,183.8969242,2,3.128603745
38.43570818,28.02517124,5415.167908,19,7.952219406
0.95852071,4.11491772,178.9677339,2,2.614109625
3.211503495,8.696313711,580.0853422,2,4.383900639
45.39440404,25.03889001,4260.706877,18,9.256321908
34.7757116,31.63766656,4922.161382,17,7.7021719
7.347996928,7.205009296,468.9868675,2,4.84208415
29.43835975,21.69291468,5600.606961,15,9.096572542
6.87200568,10.39640113,690.6226685,5,5.551866346
4.665752909,8.055448714,777.1138226,5,5.325725096
27.1209088,27.00554849,4824.243258,18,7.927068048
29.04830661,23.18781846,4510.618142,9,7.631551946
1.439694631,4.861395606,239.5515974,1,2.53697669
3.330867641,11.17882537,649.5437171,3,5.547262937
