latitude,longitude,length,cul_matl,cul_type,Soil_Drainage_Class,Soil_Moisture,Soil_pH,Soil_Elec_Conductivity,Soil_Surface_Texture,Flooding_Frequency,State,Age,Cul_rating
43.52064519,-72.54499975,50,Corrugated Steel,Round,Well drained,7.7,5.5,0,Fine sandy loam,None,Vermont,2,3
42.99478379,-72.58203721,60,Corrugated Steel,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,4,4
42.88005862,-72.8555969,42,Poly Vinyl Chloride,Round,Well drained,5.5,4.8,0,Fine sandy loam,None,Vermont,5,4
43.47675508,-72.57707163,20,High Density Polyethylene,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,4,3
44.89790663,-72.17803741,30,Corrugated Steel,Round,Excessively drained,5,5.5,0,Slightly decomposed plant material,None,Vermont,0,4
43.91765749,-73.17651673,40,Poly Vinyl Chloride,Round,Moderately well drained,5.3,5.9,0,Very fine sandy loam,None,Vermont,14,4
44.56378108,-72.94776777,40,Corrugated Steel,Round,Poorly drained,5,5.5,0,Slightly decomposed plant material,None,Vermont,3,3
43.24306694,-72.61997246,60,High Density Polyethylene,Round,Moderately well drained,3.2,5.5,0,Fine sandy loam,None,Vermont,0,4
42.83399209,-72.58527459,40,Poly Vinyl Chloride,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,0,3
43.31998661,-72.50933954,60,Corrugated Steel,Round,Well drained,2.4,5.4,0,Fine sandy loam,None,Vermont,56,3
43.37407627,-72.67506584,54,High Density Polyethylene,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,1,4
42.89436703,-72.54284652,40,High Density Polyethylene,Round,Excessively drained,1.6,5.4,0,Moderately decomposed plant material,None,Vermont,0,3
43.55152922,-72.61522052,40,High Density Polyethylene,Round,Well drained,2.4,4.6,0,Moderately decomposed plant material,None,Vermont,5,3
43.37051138,-72.67478067,44,High Density Polyethylene,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,1,4
44.00899423,-73.02222463,40,Poly Vinyl Chloride,Round,Poorly drained,2.2,5.9,0,Silt loam,None,Vermont,1,4
43.44317085,-73.08237247,15,Corrugated Steel,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,35,3
43.31775171,-72.4295615,40,Poly Vinyl Chloride,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
42.97023878,-72.49342227,55,Poly Vinyl Chloride,Round,Somewhat excessively drained,5.8,5,0,Channery loam,None,Vermont,9,4
