Budget (USD),Duration (Months),NumWorkers,SafetyIncidents,Location,ProjectType,MaterialType,ProjectPhase
801976.5588496847,13.909114358886551,25,0,Los Angeles,Infrastructure,Wood,Execution
4462830.849561451,41.549994915827774,249,11,New York,Industrial,Wood,Closing
2878827.8358482216,38.59688953103648,240,7,Phoenix,Infrastructure,Steel,Closing
4587195.077900009,27.338769573901573,264,10,Los Angeles,Infrastructure,Wood,Planning
4633083.364738355,49.70608718231875,232,10,Los Angeles,Infrastructure,Wood,Closing
584200.9978155856,7.199094799015152,65,2,Los Angeles,Commercial,Steel,Closing
4321442.496901623,42.56807232115548,251,8,Chicago,Industrial,Steel,Planning
4302839.2382664345,38.57922451035601,274,11,San Diego,Commercial,Brick,Planning
2278041.509803463,22.78905153175932,150,4,San Diego,Residential,Wood,Planning
3174903.4148265044,26.751173865758663,176,7,Phoenix,Infrastructure,Brick,Closing
2015727.038063218,10.00899657733946,168,5,Chicago,Residential,Brick,Closing
4269333.519358851,31.56327826444645,214,9,Phoenix,Industrial,Concrete,Closing
759114.3679807627,6.741998261970915,93,2,San Diego,Residential,Steel,Planning
682843.0601419744,18.345107626446964,45,0,Chicago,Residential,Steel,Execution
2155672.215233328,17.244071418357333,134,5,Phoenix,Industrial,Steel,Planning
4400613.594976405,39.087155128102296,230,10,New York,Infrastructure,Concrete,Planning
4439563.882603476,26.984314560863503,243,10,San Jose,Residential,Concrete,Execution
4622043.2339178445,40.78486480484217,238,10,San Jose,Residential,Wood,Execution
4536212.5485542165,46.51639018658032,262,10,Houston,Commercial,Glass,Closing
1142945.026583278,10.176317759858645,36,1,Houston,Industrial,Concrete,Planning
734579.6581171792,11.70575987408322,56,2,Los Angeles,Residential,Steel,Closing
2762117.6214265344,38.21336476627982,182,9,San Antonio,Residential,Brick,Closing
4470011.856184178,32.83424092737644,240,10,San Jose,Infrastructure,Glass,Closing
647226.6165326613,4.703932390555242,49,2,Phoenix,Industrial,Steel,Execution
1902230.1156427453,14.401912833554944,153,3,Phoenix,Industrial,Steel,Execution
979854.6652571352,6.484117874370563,49,3,New York,Industrial,Steel,Planning
801510.0781445529,9.627770421169163,12,1,Dallas,Industrial,Glass,Closing
2132576.2537334827,25.867369287426627,154,4,Chicago,Infrastructure,Brick,Planning
784173.0876255884,9.080083318236603,50,1,Los Angeles,Industrial,Glass,Execution
4545799.278491868,30.710492743008565,262,10,New York,Industrial,Wood,Execution
2318901.0126449945,15.76519325840836,130,3,Dallas,Commercial,Glass,Closing
3374193.0350743565,31.94807088685452,183,9,Philadelphia,Infrastructure,Wood,Execution
