Budget (USD),Duration (Months),NumWorkers,SafetyIncidents,Location,ProjectType,MaterialType,ProjectPhase
801976.5588,13.90911436,25,0,Los Angeles,Infrastructure,Wood,Execution
4462830.85,41.54999492,249,11,New York,Industrial,Wood,Closing
2878827.836,38.59688953,240,7,Phoenix,Infrastructure,Steel,Closing
4587195.078,27.33876957,264,10,Los Angeles,Infrastructure,Wood,Planning
4633083.365,49.70608718,232,10,Los Angeles,Infrastructure,Wood,Closing
584200.9978,7.199094799,65,2,Los Angeles,Commercial,Steel,Closing
4321442.497,42.56807232,251,8,Chicago,Industrial,Steel,Planning
4302839.238,38.57922451,274,11,San Diego,Commercial,Brick,Planning
2278041.51,22.78905153,150,4,San Diego,Residential,Wood,Planning
3174903.415,26.75117387,176,7,Phoenix,Infrastructure,Brick,Closing
2015727.038,10.00899658,168,5,Chicago,Residential,Brick,Closing
4269333.519,31.56327826,214,9,Phoenix,Industrial,Concrete,Closing
759114.368,6.741998262,93,2,San Diego,Residential,Steel,Planning
682843.0601,18.34510763,45,0,Chicago,Residential,Steel,Execution
2155672.215,17.24407142,134,5,Phoenix,Industrial,Steel,Planning
4400613.595,39.08715513,230,10,New York,Infrastructure,Concrete,Planning
4439563.883,26.98431456,243,10,San Jose,Residential,Concrete,Execution
4622043.234,40.7848648,238,10,San Jose,Residential,Wood,Execution
4536212.549,46.51639019,262,10,Houston,Commercial,Glass,Closing
1142945.027,10.17631776,36,1,Houston,Industrial,Concrete,Planning
734579.6581,11.70575987,56,2,Los Angeles,Residential,Steel,Closing
2762117.621,38.21336477,182,9,San Antonio,Residential,Brick,Closing
4470011.856,32.83424093,240,10,San Jose,Infrastructure,Glass,Closing
647226.6165,4.703932391,49,2,Phoenix,Industrial,Steel,Execution
1902230.116,14.40191283,153,3,Phoenix,Industrial,Steel,Execution
979854.6653,6.484117874,49,3,New York,Industrial,Steel,Planning
801510.0781,9.627770421,12,1,Dallas,Industrial,Glass,Closing
2132576.254,25.86736929,154,4,Chicago,Infrastructure,Brick,Planning
784173.0876,9.080083318,50,1,Los Angeles,Industrial,Glass,Execution
4545799.278,30.71049274,262,10,New York,Industrial,Wood,Execution
2318901.013,15.76519326,130,3,Dallas,Commercial,Glass,Closing
3374193.035,31.94807089,183,9,Philadelphia,Infrastructure,Wood,Execution
2947097.032,19.98068818,213,7,San Diego,Residential,Wood,Closing
493939.1203,14.36228664,63,1,San Antonio,Infrastructure,Brick,Execution
2199209.537,16.21602456,122,7,San Antonio,Residential,Concrete,Execution
4592873.973,37.24724034,256,9,Chicago,Infrastructure,Steel,Execution
2107301.969,15.50766009,151,5,Chicago,Infrastructure,Glass,Planning
4564416.462,39.94453998,234,11,Chicago,Residential,Brick,Execution
1865301.875,21.39497081,133,7,San Antonio,Infrastructure,Concrete,Planning
3075281.905,25.48974223,183,9,Philadelphia,Commercial,Brick,Planning
3017731.518,30.98657854,188,8,Dallas,Industrial,Steel,Planning
3039004.997,26.20858966,177,9,San Jose,Residential,Steel,Planning
2237894.098,13.86196092,162,6,New York,Residential,Wood,Closing
1162149.585,18.77670421,45,2,Los Angeles,Commercial,Steel,Closing
4452806.003,43.72092855,258,10,Los Angeles,Residential,Concrete,Planning
736784.0403,3.944919001,37,1,Phoenix,Infrastructure,Wood,Execution
2820930.736,27.9594958,180,9,Los Angeles,Infrastructure,Steel,Execution
4747530.752,41.89883818,231,10,Los Angeles,Industrial,Steel,Execution
3323442.515,30.52177969,182,7,Dallas,Commercial,Concrete,Planning
2773959.255,42.05838338,230,9,San Antonio,Commercial,Steel,Closing
797122.9116,13.85432597,20,2,San Jose,Industrial,Concrete,Closing
4104902.446,43.75549727,209,10,Dallas,Industrial,Brick,Execution
2174013.546,22.47840944,153,5,New York,Infrastructure,Concrete,Planning
2936030.495,30.75878996,183,10,Philadelphia,Industrial,Steel,Execution
1109537.305,13.20421431,39,2,Phoenix,Industrial,Glass,Execution
2237477.21,32.94781821,162,5,San Diego,Commercial,Brick,Planning
1754846.867,12.6781256,154,6,Phoenix,Residential,Brick,Planning
2782073.393,26.07619046,193,7,Los Angeles,Industrial,Concrete,Planning
4432175.544,41.85030558,248,10,Dallas,Industrial,Brick,Planning
1718736.507,19.58447214,120,6,San Jose,Industrial,Concrete,Execution
1866185.452,25.19952344,138,7,San Antonio,Infrastructure,Concrete,Planning
4481411.159,38.80249039,272,10,Phoenix,Commercial,Steel,Planning
2193891.44,22.13597181,137,7,Los Angeles,Infrastructure,Glass,Closing
655613.6268,15.44475298,51,0,Houston,Commercial,Wood,Closing
1903451.296,15.23335696,152,7,Phoenix,Commercial,Concrete,Planning
4736378.219,42.40454046,246,9,Dallas,Residential,Brick,Execution
607430.8435,10.53215114,45,3,Los Angeles,Commercial,Brick,Planning
2864964.345,29.27740665,184,8,Chicago,Industrial,Steel,Planning
2237782.674,23.54151924,157,6,San Diego,Industrial,Glass,Execution
4588954.762,35.87173159,253,10,Chicago,Infrastructure,Concrete,Planning
4548576.403,29.58950648,,9,San Diego,Infrastructure,Wood,Closing
4720775.469,42.37583873,250,9,Dallas,Industrial,Glass,Closing
4335212.903,36.40445274,291,10,Dallas,Industrial,Steel,Execution
3136043.221,35.96253756,164,8,Dallas,Infrastructure,Steel,Execution
4821756.171,44.14114845,272,10,San Jose,Commercial,Brick,Closing
4206642.962,37.49298927,270,11,New York,Commercial,Glass,Closing
509940.7186,8.327493821,41,0,San Jose,Infrastructure,Wood,Planning
2626692.01,35.03756845,186,9,San Diego,Residential,Brick,Execution
4601248.198,47.2365285,261,9,Phoenix,Commercial,Concrete,Planning
4569341.996,52.55778276,213,10,San Jose,Industrial,Steel,Closing
2961992.193,28.21277289,196,9,Chicago,Industrial,Steel,Planning
4695563.11,29.47176529,273,11,Chicago,Residential,Wood,Closing
2033730.934,22.20970325,128,6,Chicago,Industrial,Glass,Closing
990242.7844,7.959623135,9,0,Los Angeles,Infrastructure,Steel,Planning
2944223.321,34.22578986,199,7,San Diego,Industrial,Brick,Planning
2102621.16,18.70226661,165,6,Los Angeles,Commercial,Concrete,Closing
774059.1263,12.57219417,64,0,Houston,Infrastructure,Brick,Planning
